Fecha,Hora,Verdura,Precio
2025-04-23,19:18:03,Sunflower,0.00055
2025-04-23,19:18:03,Potato,0.00064191
2025-04-23,19:18:03,Pumpkin,0.0012
2025-04-23,19:18:03,Carrot,0.0018
2025-04-23,19:18:03,Cabbage,0.00339333
2025-04-23,19:18:03,Beetroot,0.00974541
2025-04-23,19:18:03,Cauliflower,0.00984942
2025-04-23,19:18:03,Parsnip,0.023959
2025-04-23,19:18:03,Radish,0.01693
2025-04-23,19:18:03,Wheat,0.017635
2025-04-23,19:18:03,Kale,0.04199
2025-04-23,19:18:03,Apple,0.06794667
2025-04-23,19:18:03,Blueberry,0.0666
2025-04-23,19:18:03,Orange,0.042495
2025-04-23,19:18:03,Eggplant,0.012394
2025-04-23,19:18:03,Corn,0.04659
2025-04-23,19:18:03,Banana,0.04534688
2025-04-23,19:18:03,Soybean,0.00334
2025-04-23,19:18:03,Grape,0.6485
2025-04-23,19:18:03,Rice,0.6798871
2025-04-23,19:18:03,Olive,0.87483333
2025-04-23,19:18:03,Tomato,0.0096
2025-04-23,19:18:03,Lemon,0.014244
2025-04-23,19:18:03,Barley,0.03493667
2025-04-23,19:18:03,Rhubarb,0.00052
2025-04-23,19:18:03,Zucchini,0.0006795
2025-04-23,19:18:03,Yam,0.001722
2025-04-23,19:18:03,Broccoli,0.002285
2025-04-23,19:18:03,Pepper,0.004722
2025-04-23,19:18:03,Onion,0.0179
2025-04-23,19:18:03,Turnip,0.0147929
2025-04-23,19:18:03,Artichoke,0.0178
2025-04-23,19:18:03,Duskberry,1.2795
2025-04-23,19:18:03,Lunara,0.6342
2025-04-23,19:18:03,Celestine,0.275
2025-04-23,19:18:03,Wood,0.02297795
2025-04-23,19:18:03,Stone,0.039284
2025-04-23,19:18:03,Iron,0.16370968
2025-04-23,19:18:03,Gold,0.6989625
2025-04-23,19:18:03,Egg,0.05879487
2025-04-23,19:18:03,Honey,0.1573
2025-04-23,19:18:03,Crimstone,1.662
2025-04-23,19:18:03,Leather,0.076
2025-04-23,19:18:03,Wool,0.04148
2025-04-23,19:18:03,Merino Wool,0.03499687
2025-04-23,19:18:03,Feather,0.007
2025-04-23,19:18:03,Milk,0.3495
2025-04-23,19:18:03,Goblin Emblem,0.064
2025-04-23,19:18:03,Bumpkin Emblem,0.0519275
2025-04-23,19:18:03,Sunflorian Emblem,0.044196
2025-04-23,19:18:03,Nightshade Emblem,0.04949
