Timestamp,Sunflower,Potato,Pumpkin,Carrot,Cabbage,Beetroot,Cauliflower,Parsnip,Radish,Wheat,Kale,Apple,Blueberry,Orange,Eggplant,Corn,Banana,Soybean,Grape,Rice,Olive,Tomato,Lemon,Barley,Rhubarb,Zucchini,Yam,Broccoli,Pepper,Onion,Turnip,Artichoke,Duskberry,Lunara,Celestine,Wood,Stone,Iron,Gold,Egg,Honey,Crimstone,Leather,Wool,Merino Wool,Feather,Milk,Goblin Emblem,Bumpkin Emblem,Sunflorian Emblem,Nightshade Emblem
2025-04-20 21:15:03,0.00052,0.0006885,0.00225,0.004454,0.002996,0.0073,0.00899,0.025828,0.019254,0.020493,0.04527,0.0624,0.0524,0.05044,0.01669932,0.04027353,0.04365,0.00432,0.55708,0.66731333,0.87499474,0.014928,0.0164772,0.054497,0.00054,0.0009786,0.001807,0.0034,0.004918,0.018985,0.016,0.02694,1.2185,0.6122,0.266275,0.025994,0.044444,0.1669875,0.74496667,0.051,0.16372857,1.7459,0.075,0.0329,0.052799,0.01019,0.36,0.055,0.055,0.04044963,0.0495
2025-04-20 22:00:04,0.0005195,0.000675,0.00225,0.004454,0.002996,0.0073,0.0089895,0.02582721,0.019997,0.02,0.04524,0.062,0.052556,0.05041,0.016698,0.0402756,0.04363,0.004319,0.55396,0.6673,0.86998,0.01492667,0.016478,0.054294,0.00054,0.00096267,0.001807,0.0034,0.004916,0.018985,0.016,0.026934,1.2185,0.612,0.26626667,0.0256,0.044435,0.16703297,0.74498571,0.05098,0.18193333,1.73315,0.075,0.0329,0.05279429,0.01017917,0.36,0.055,0.055,0.04044963,0.0495
2025-04-20 22:15:03,0.0005195,0.000689,0.00225,0.004454,0.002996,0.0074,0.008992,0.027,0.02,0.01999859,0.04523,0.062,0.052556,0.05040702,0.016698,0.040275,0.04363,0.004319,0.55396,0.6673,0.86998,0.01492767,0.01649133,0.054295,0.00054,0.0009624,0.001807,0.0034,0.00531542,0.018985,0.016,0.026934,1.2185,0.612,0.2663,0.0256,0.04443467,0.16703182,0.7399,0.050976,0.18191,1.7332,0.074999,0.03289,0.05279545,0.01017,0.36,0.055,0.055,0.04044963,0.0495
2025-04-20 22:45:03,0.00051984,0.0006198,0.002225,0.0044499,0.0029548,0.007035,0.008988,0.02799,0.02049,0.02061295,0.045222,0.06214,0.052556,0.05043333,0.016642,0.040275,0.0436,0.0042,0.55392,0.6673,0.874,0.01491667,0.01666,0.054293,0.000548,0.0009622,0.001805,0.0034215,0.004999,0.018984,0.016,0.026945,1.2183,0.612,0.26628889,0.0255432,0.041946,0.16695,0.73163333,0.05064,0.1927,1.71,0.074999,0.03289,0.052795,0.00981429,0.35,0.055,0.055,0.04044963,0.0495
2025-04-21 00:30:03,0.00052,0.0006195,0.00222478,0.00445,0.0029545,0.007248,0.008986,0.027988,0.02049231,0.020612,0.04522,0.06214,0.05255563,0.050435,0.0165,0.0402755,0.0436,0.0042,0.55,0.667305,0.87403333,0.014915,0.01665,0.054,0.000548,0.0009622,0.001805,0.003422,0.0049,0.018984,0.016,0.026945,1.2183,0.612,0.26628889,0.02554229,0.0419465,0.16703297,0.73165,0.05053333,0.19269,1.71,0.074999,0.03289,0.052792,0.00981176,0.34966,0.055,0.055,0.04044963,0.0495
2025-04-21 03:00:04,0.0005315,0.00069995,0.0022295,0.004452,0.00299896,0.007464,0.00901078,0.027988,0.02012857,0.02091942,0.045216,0.064,0.055,0.05,0.0162,0.0402768,0.04444333,0.00457143,0.57,0.68656,0.87498636,0.01562,0.01663333,0.0518,0.0005466,0.00094889,0.0018123,0.0034638,0.00499,0.018985,0.016,0.02796,1.21665,0.58333333,0.2664,0.02598199,0.04486,0.16899,0.72746,0.05798947,0.1926,1.6957,0.075,0.034874,0.052793,0.00982553,0.34961957,0.055,0.055,0.04044963,0.0495
2025-04-21 04:30:03,0.0005331,0.0006998,0.00222094,0.004449,0.002999,0.0069,0.00932973,0.0279866,0.02,0.02,0.04526667,0.07267667,0.0575,0.05132,0.016265,0.040252,0.0434,0.004686,0.57498571,0.68655758,0.87328,0.01536667,0.016327,0.051,0.00054493,0.0009,0.001813,0.0034638,0.00498589,0.01877,0.016,0.027896,1.083275,0.611975,0.269525,0.02579795,0.043,0.16666667,0.72714286,0.06209839,0.19,1.6947,0.08,0.03478,0.05278,0.00991739,0.3496,0.055,0.055,0.04045,0.0495
2025-04-21 16:00:04,0.000545,0.0006999,0.002024,0.003204,0.0034,0.007109,0.00975,0.027637,0.01881875,0.01884615,0.045,0.076656,0.0625,0.048,0.01282667,0.04025263,0.037644,0.00448788,0.58,0.72,0.83,0.01534,0.01561979,0.0499,0.00054772,0.000748,0.0023295,0.00395,0.004695,0.018766,0.016155,0.02785333,1.15,0.58,0.2298,0.0252,0.038,0.17379474,0.72072778,0.05940588,0.183315,1.694,0.07986,0.048795,0.044,0.0079,0.35555556,0.0647,0.055,0.040435,0.0475
2025-04-21 21:05:26,0.0005485,0.00069,0.00188886,0.00292,0.0034988,0.0071115,0.00998813,0.025863,0.01688,0.01937,0.0448,0.074,0.06214944,0.05,0.01218939,0.04025483,0.039612,0.004687,0.5799,0.7,0.83,0.015222,0.015,0.0478,0.0005,0.0007378,0.002329,0.00429697,0.004691,0.0185,0.0161535,0.0275,1.14423333,0.5691,0.229,0.02574909,0.0419,0.17266667,0.7066,0.0585,0.18333333,1.68,0.081842,0.04699583,0.041999,0.008,0.35466,0.06466,0.05294118,0.040435,0.04995
2025-04-21 23:45:03,0.000549,0.0006966,0.001885,0.002863,0.00349615,0.00708,0.009986,0.0258435,0.01685,0.01943333,0.0449,0.074321,0.06214,0.049996,0.01216143,0.040253,0.03962,0.004673,0.60666,0.70998,0.83,0.015142,0.015,0.0482,0.000544,0.0007376,0.0023295,0.00439652,0.0045,0.0185,0.016155,0.0275,1.148525,0.57434,0.2296,0.02445971,0.041664,0.173776,0.706175,0.05939677,0.1782,1.66998,0.08184035,0.04698,0.04199737,0.00795,0.35249375,0.0646,0.05294118,0.040435,0.049995
